gauche-gauche;style-gauche-gauche;gauche-centre;style-gauche-centre;gauche-droite;style-gauche-droite;centre-gauche;style-centre-gauche;centre-centre;style-centre-centre;centre-droite;style-centre-droite;droite-gauche;style-droite-gauche;droite-centre;style-droite-centre;droite-droite;style-droite-droite;style-ligne;commentaire
;;;;;;;;;;ROWAN SHERARD;;;;;;;;;
;;;;;;Additional Camera Trainees;;;;REBECCA ALGEO;;;;;;;;;
;;;;;;;;;;RYAN MORTELL;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Grips/Crane Operators;;;;PHIL GAFFNEY;;;;;;;;;
;;;;;;;;;;DARREN KELLY;;;;;;;;;
;;;;;;;;;;DARRAGH MCCORMACK;;;;;;;;;
;;;;;;;;;;STEPHEN FAULKNER;;;;;;;;;
;;;;;;;;;;STEPHEN NORSE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Gaffers;;;;SEAMUS LYNCH;;;;;;;;;
;;;;;;;;;;EIMEAR ENNIS GRAHAM;;;;;;;;;
;;;;;;Additional Practical Electrician ;;;;DAMIEN HEFFERNAN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Sound Mixer ;;;;CONOR O'TOOLE;;;;;;;;;
;;;;;;Additional 2nd Sound Assistant;;;;AIDEN NORRIS;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional 2nd Assistant Director;;;;THERESE FRIEL;;;;;;;;;
;;;;;;Additional 3rd Assistant Director;;;;CONOR FLANNERY;;;;;;;;;
;;;;;;Additional Crowd 3rd Assistant Director;;;;TIM LYONS;;;;;;;;;
;;;;;;Additional Trainee Assistant Directors;;;;JIM MCDERMOTT;;;;;;;;;
;;;;;;;;;;RYAN CONROY;;;;;;;;;
;;;;;;;;;;SHAUN DOOGAN;;;;;;;;;
;;;;;;;;;;PETER JAMES HESLOP;;;;;;;;;
;;;;;;;;;;EAMONN CAWLEY;;;;;;;;;
;;;;;;;;;;TIERNAN NEILL;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Costume Assistants;;;;CIARA O'TOOLE;;;;;;;;;
;;;;;;;;;;ALEC MCNAMARA;;;;;;;;;
;;;;;;Additional Costume Trainees;;;;REBECCA MCCONNAN;;;;;;;;;
;;;;;;;;;;NINA FERN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Make-up Artists;;;;CIARA SCANNELL;;;;;;;;;
;;;;;;;;;;EMMA MOFFAT;;;;;;;;;
;;;;;;;;;;ZOE GIBNEY;;;;;;;;;
;;;;;;;;;;CHRISTINA PHELAN;;;;;;;;;
;;;;;;;;;;TRISH FLOOD;;;;;;;;;
;;;;;;Additional Make-up Juniors;;;;CIONA CAMPBELL;;;;;;;;;
;;;;;;;;;;SIAN FITZGERALD;;;;;;;;;
;;;;;;;;;;BETH YOUNG;;;;;;;;;
;;;;;;;;;;CARLA EDWARDS;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Hair Assistants;;;;LORRAINE BRENNAN;;;;;;;;;
;;;;;;;;;;BELINDA ROCHE;;;;;;;;;
;;;;;;;;;;MARION O'TOOLE;;;;;;;;;
;;;;;;;;;;MAUREEN SMITH;;;;;;;;;
;;;;;;;;;;VAL SHERLOCK;;;;;;;;;
;;;;;;;;;;NICOLA MCGEALY;;;;;;;;;
;;;;;;;;;;SOPHIA O'KELLY;;;;;;;;;
;;;;;;;;;;EMILY BARKER;;;;;;;;;
;;;;;;Additional Hair Juniors;;;;FARRAH O'BRIEN;;;;;;;;;
;;;;;;;;;;KIRSTY MCGILL;;;;;;;;;
;;;;;;;;;;JESSIE WHELAN;;;;;;;;;
;;;;;;;;;;KIRSTY CYANE;;;;;;;;;
;;;;;;;;;;JESSIE WHELAN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Props Runaround;;;;MICKEY DOOGAN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Location Manager ;;;;KIERAN HENNESSY;;;;;;;;;
;;;;;;Additional Assistant Locations Manager ;;;;MICHAEL BYRNE;;;;;;;;;
;;;;;;Additional Locations Trainee ;;;;CONOR MAGUIRE;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Additional Stills Assistant;;;;NIAMH CROWLEY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Camera Equipment;; ;;VAST VALLEY;;;;;;;;;
;;;;;;Lighting Equipment;;;;CINE ELECTRIC;;;;;;;;;
;;;;;;Grip Equipment;;;;CELTIC GRIPS ;;;;;;;;;
;;;;;;Waste and Recycling Services;;;;GLON WASTE;;;;;;;;;
;;;;;;Irish Travel Agency;;;;SELECTIVE TRAVEL MANAGEMENT;;;;;;;;;
;;;;;;Belgium Travel Agent;;;;GLOBUS TRAVEL MANAGEMENT;;;;;;;;;
;;;;;;Location Security;;;;PULSE SECURITY;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Productation Insurance ;;;;MEDIA INSURANCE BROKERS ;;;;;;;;;
;;;;;;;;;;JOHN O'SULLIVAN;;;;;;;;;
;;;;;;Covid Insurance;;;;EPIC INSURANCE BROKERS;;;;;;;;;
;;;;;;;;;;PETER MARSHALL;;;;;;;;;
;;;;;;Clearances;;;;FILM AND TV CLEARANCES ;;;;;;;;;
;;;;;;;;;;PAULA BRYDEN;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;Post Production;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;Post Producer;;;;TIM MORRIS;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
